1,60436,2121,2719,5331,23646,178,175,4487,2621,247,2533,79689,29969,605,4070,26064,79170,79888,23034,6581,729230,23335,5935,100126791,93408,1490,2770,29968,55859,9903,10204,3683,8880,23327,2203,4664,124801,8284,8900,55638,11079,8434,6531,114049,50852,1601,6646,57820,1474,22914,3082,3727,64699,3976,23166,4015,1513,2767,113,22902,4883,54431,6039,79582,83468,1280,11061,5144,384,9689,4312,2260,293,84168,22841,2921,5887,11167,4208,11344,4791,5584,6401,23131,8444,9208,11037,10782,341,3872,3953,57214,9586,6307,4026,717,64284,2487,3858,27123,3226,4482,3386,4050,54829,7162,23536,7739,6441,151230,55769,9077,10320,23443,3642,11221,30,2762,835,3512,54587,4060,1009,54863,64430,6035,4694,65124,4116,55061,382,145389,283,5272,2633,54470,89797,11145,10874,22820,26207,3417,11013,4837,6439,1021,23767,4698,10787,79633,23259,27244,4023,63917,2170,2744,2568,4435,1803,2014,54585,1081,23743,27324,54463,51150,9636,1164,9641,23231,4857,51083,2731,8821,718,8424,79695,2173,5764,6590,26298,26031,3489,4054,753,26137,9120,51186,54873,214,1717,7103,378,1031,1396,81035,5327,654,1043,8869,10225,51313,5649,6819,7857,5763,4815,51474,1301,4969,30008,6857,2730,9180,81578,9452,1968,29916,56892,2537,1266,80223,1959,1548,79961,864,1295,9086,55847,729238,23189,79838,51691,10845,10057,5266,10516,1806,23576,116496,22982,9263,154,6376,3176,55008,4072,10178,1556,249,7280,10158,9201,2891,7465,7430,7980,1102,5021,9536,80204,9518,5174,9358,1634,4233,7292,93664,9254,474344,10439,51330,27338,57192,9122,54477,2099,1365,8560,8549,6304,27347,4915,6594,1984,80310,26228,9823,25878,55540,6364,2348,11010,3730,11254,5996,6662,7412,10406,6192
2,9221,51399,23649,55651,10198,3858,8721,3921,22921,2161,1633,10556,4034,23788,54939,10425,10541,2319,54977,55666,10212,11143,79109,5721,1975,6231,51397,5436,483,1373,26762,97,80194,8898,9144,8766,11198,7874,317762,9833,54505,23521,55120,899,1173,28234,3184,64112,6509,2146,26469,29927,2771,10884,3030,55723,10105,1267,23530,60488,1892,54504,9045,9639,5605,83716,56994,10487,5501,4627,22954,54442,29995,231,10165,522,60,11325,9948,8665,4105,27292,9747,6611,5383,79902,402,7324,9903,10755,51109,55556,5469,58533,8727,7514,26229,4154,10550,64236,10856,55486,6059,55744,54908,11267,3925,80349,2926,3615,6240,51520,2021,3954,5984,8872,6500,8624,51466,54927,6233,6636,23165,9465,4641,5245,7265,55793,55884,706,4047,9070,6729,63894,8406,7392,516,6195,6418,642,55148,5827,25793,27010,7417,78991,9218,10360,975,11161,23325,10015,3157,7386,79154,8697,11319,6897,6599,5393,63901,55127,81554,3927,23378,6701,51110,6908,58472,6166,54930,1605,7259,1503,835,2810,1355,8775,3181,10657,5817,5425,8992,55969,1729,51759,51218,7322,23259,5331,6605,10539,5264,6839,79006,3572,51441,25998,5935,3066,26472,23438,6742,2109,6117,8036,63874,16,10055,966,162427,51316,23367,1175,51031,3182,2287,91754,977,381,25804,4216,55316,23636,203068,64080,79893,23139,90141,55008,51155,81605,26063,5073,4883,5257,10092,5982,11142,3953,11200,4199,85377,10493,716,10197,9879,31,8678,10269,5606,5585,9703,2908,8270,25825,9793,10552,79894,7342,11261,5931,6478,6596,10939,79073,9261,2271,3978,55970,23131,4087,5357,9604,51125,2542,79643,9943,26073,10531,1396,23386,684,5359,64167,9275,90861,6342,116832,57192,23338,5427,10121,29916,10551,4057,3223,6402,4118,7103
3,12,140465,23576,5268,25840,4482,10626,7262,1316,23677,51030,8284,5879,4638,3855,5213,5167,54101,80746,2923,8668,22982,9208,81035,5157,3932,6203,3589,27243,6383,6747,29984,26993,4775,3112,29103,23259,6401,11340,1524,26207,5502,1191,9949,8857,9086,6387,1999,2273,8842,8900,1622,3964,9249,5806,2954,174,29997,2621,5168,6443,54587,80761,4026,4739,11031,2746,6001,29763,10846,7347,4054,4915,2487,51303,50854,10974,8140,11211,56271,5110,25966,23327,54585,57820,4694,10874,3417,688,2769,2568,2296,9122,4696,51741,4023,2999,22998,81575,8674,3002,4094,18,143,56901,4147,9455,8631,5052,9734,83468,4907,429,25873,23189,840,23596,11145,23208,10257,7103,4781,26298,4067,4303,1075,23089,26037,283,2762,26503,60436,23493,2747,10549,835,9510,5473,474344,9404,5567,9641,9516,2181,4664,249,3976,3872,79977,221061,57088,132,8549,3066,2823,5887,26031,4982,796,80723,11167,247,3053,79695,11010,7018,5118,3569,5764,27123,2731,4072,8560,8076,1875,26228,6273,54873,6347,10046,1396,5740,64757,8434,9903,2891,27338,54470,654,3875,51280,6364,11067,6565,22822,1959,51454,2650,51691,2281,5627,10396,4155,10516,3226,9263,6035,384,3983,11072,3426,3400,4208,10149,79145,4628,629,80204,1365,2331,9636,1545,5420,10417,2624,2952,6304,7804,26872,7980,1984,30008,5797,4071,2878,6509,3397,9201,341,7430,27347,29916,3489,4102,125,27018,5021,3508,9254,358,9710,7280,717,10451,4233,4256,5918,4603,22914,5727,7292,2730,1363,57192,6662,4837,864,5799,4487,5265,25878,7465,9823,64699,9590,3880,7035,3953,23231,64065,10178,10406,1968,8644,347,4070,4043,214,6857,301,80310,9518,6590,6594,2348,2173,7412,718,4316,6192
9,6573,146712,3775,10150,572,11261,56950,1263,7277,55666,253959,79666,9859,81034,2624,3895,10491,10257,65990,23077,23034,55751,25909,6236,79087,50999,23160,5859,26190,9603,3837,4034,4848,3800,64780,1652,83481,24145,3482,5663,64419,4775,54545,5201,171023,205564,9819,26020,23023,10942,50512,8870,6856,9632,90957,3383,23093,64411,6653,3638,8560,9308,10169,23137,51573,25940,64421,2048,55101,6311,5868,55624,9601,8776,6713,440193,9908,80086,7048,9414,10938,65979,6868,51700,30,23344,638,8459,6738,56731,221061,29095,138151,10198,5357,64114,8793,6867,2239,4118,79174,54462,114908,6307,64397,79693,199731,4651,23118,55652,6304,274,3611,3927,51230,54726,1839,6305,10479,80003,80212,7080,129642,23613,9270,55291,1183,10101,60313,2152,57787,4771,9051,9778,5802,51232,5880,8462,2976,5786,66008,9639,1848,1368,55233,9779,643,23008,79016,8767,3240,4793,1387,23197,8676,818,124222,8751,84179,6439,9143,23258,3949,55096,80781,10109,8239,57048,4238,9797,4814,79144,57466,7849,10426,64175,9397,9529,9209,65985,10618,440026,7082,23405,6709,23332,79096,8795,4891,10914,23380,729238,10089,4695,2719,25915,3995,4026,2260,1437,10513,25941,10381,9289,5819,8675,64834,4267,7088,4047,1397,22887,54509,79443,10245,1523,5576,7368,3987,79627,1778,10734,5291,11021,23167,80758,55209,55332,60685,665,481,5154,7862,974,80219,10681,23299,3460,4953,23352,200576,79961,55802,808,23367,3707,7041,51422,5286,51257,5209,7466,664,7187,1455,7280,4850,7414,8452,23131,4664,1595,22883,57403,1774,6988,6812,56889,10383,4363,23527,8727,79026,317762,376412,1487,4853,54915,5871,3930,9813,1396,5782,6237,2920,4792,6347,11325,9870,7262,3267,55129,10227,23499,9583,10046,5971,3157,79006,25966
10,7804,4223,2633,6714,26002,90,3695,57214,27244,51297,1349,7042,2533,4739,9710,55340,10161,5588,6439,23327,27338,1295,654,26872,8857,23378,5621,27324,26037,8631,1843,1548,4698,23193,65124,6404,10417,2121,4072,22981,23743,23646,5552,9586,384,116496,2099,26993,915,64757,5358,10225,25840,50852,51365,7739,51186,93408,835,3489,2331,22841,10455,23212,23259,6590,4487,81669,3122,4043,6664,590,2286,29899,4026,247,9792,5887,9249,51454,10396,55303,30,2170,8880,3003,51150,51691,729230,23677,9358,4155,29968,57045,2823,54674,1545,7099,23635,8424,1556,4015,7188,10787,822,81578,79695,57035,11079,51109,54438,26064,3417,6819,9404,1117,2181,57157,3932,9734,2770,25966,4060,3109,4781,283,2296,63917,22998,3226,7424,51474,1102,6364,11221,23254,4815,9254,79921,717,7465,3858,10568,10320,474344,9077,4208,23189,140465,7035,5727,1075,7103,8821,6857,1009,5327,79961,54477,5797,1280,5331,7292,23767,22914,81544,79053,11167,5021,9518,2173,3976,154,341,1803,4791,25928,9547,5144,22982,1365,51435,26298,7070,11145,9636,55540,3569,64699,9510,914,2568,54873,4050,1968,4837,1164,54874,2650,1474,55008,9086,58472,4883,3512,9120,79633,2730,1266,10178,2921,3683,4628,2762,1081,7162,1717,9180,9201,1959,5649,23089,27123,11211,9452,1672,4915,4585,28969,51330,6376,56892,26137,4054,79838,89797,29916,1984,6363,1031,358,23576,81035,3310,7430,54470,2891,3730,8284,54587,9263,10158,8549,23231,80310,30008,10516,4094,7280,57192,26228,9590,9122,9536,80204,3400,249,2537,6565,3953,29969,11254,11010,629,27347,1043,1396,8560,3371,10557,214,4070,3855,5996,6662,718,4233,864,6304,6594,7980,7412,4316,6273,3872,9823,2348,25878,10406,6192
12,4694,5764,25843,1278,2625,6387,4054,4485,1808,871,54796,7351,5919,8900,8869,7099,60487,113,728498,5203,51030,5118,6819,3674,81669,50852,5763,1075,4094,55790,29763,9358,27338,65124,9510,29969,10161,3109,51474,25966,5021,8668,51435,3931,5567,4603,6646,5420,6509,1031,2817,64284,23166,5588,114049,796,1301,4303,3880,4969,6443,55312,27018,2331,2202,79035,51150,54504,5584,51280,6775,8842,283,1410,753,26207,3995,23360,347902,80223,93408,4698,6309,64065,79695,2633,4664,5918,8857,3953,1043,55540,27244,23089,835,2487,9641,5797,81544,8644,30,25928,51330,7980,55769,1295,4208,30008,55638,5799,2891,55816,717,23641,9077,64080,1280,358,4256,8190,55303,3426,51385,9851,3122,51313,1717,50854,23635,60436,3428,221061,7804,3569,2350,8436,8671,2954,1453,9636,9180,2099,1843,10263,2537,56925,54587,9734,9201,83468,6376,8076,26509,2260,10057,4482,5174,9249,1524,729230,2744,22841,247,11145,2770,4628,54863,249,64757,5272,23743,7035,64092,54997,174,3730,11037,10516,2719,9903,27123,10626,10468,7070,11226,26298,6035,26031,5577,55008,1102,4072,4815,3976,7040,1490,6988,1959,4017,51691,11013,4155,214,341,2621,3226,6857,79838,4883,11167,2921,51186,26137,9254,9452,22982,7018,2294,51365,2762,8434,9710,54470,10439,558,79633,6001,4907,8560,1672,10178,9086,5727,2730,1396,6273,1081,5935,3489,7465,654,11254,4837,8140,4316,9263,6590,23259,5740,2650,2624,474344,11010,8284,9122,9518,29916,293,864,3310,23189,7292,5996,4071,81035,4915,6662,384,10158,64699,22914,1365,27347,7162,80204,7430,9590,2731,23231,1968,6594,2878,26228,3872,80310,7103,4233,6304,57192,25878,718,8549,10406,7412,9823,2173,1984,6364,2348,6192
13,132,2487,6509,2331,23189,4067,1870,55540,23327,50617,11309,5552,9710,6404,93408,5358,8900,10468,9103,93664,6652,55837,54438,23254,81669,51109,117178,57205,23193,7042,871,914,51454,9532,57194,55630,23743,79101,5887,23166,28992,7739,5203,54,1075,1545,1230,1968,25840,27324,1280,51186,57045,22841,9817,22981,26993,65124,9641,7857,11167,2770,10232,9510,10161,54873,63917,116496,4664,835,81578,5446,5918,51385,1843,23646,2181,2919,1117,3122,8869,3109,1009,3082,7292,80223,23259,8312,4208,57157,25928,4698,7099,2286,1803,51297,2213,22889,2950,10320,717,334,1556,27338,1548,10417,3858,64757,2170,51150,23641,7424,51691,7804,29899,79695,84159,9077,4155,2823,2762,2121,4050,9734,11079,6857,64699,358,10787,4791,6819,10516,2296,1474,23635,11211,29968,9254,90993,2173,5584,4026,11221,6714,57035,7465,9358,8880,10874,5331,29969,2624,4060,2568,8424,9586,7188,7351,22914,54477,79921,81544,2650,54874,1365,341,4837,10396,1102,57214,4694,51435,7070,154,3569,9590,6664,590,3683,23576,58472,5144,4815,3417,6439,1031,8821,384,729238,30,10178,6590,51330,247,25966,9086,6376,9263,56892,4915,4883,23767,55008,26872,5649,5021,79961,1081,8857,9122,7103,10568,1164,28969,23231,9180,9120,79633,26137,26064,79838,1349,3953,22982,23089,29916,4628,6364,3976,9452,4094,79053,7162,1672,3400,27123,26298,9536,9201,1959,3730,8549,2921,1266,54470,80310,1396,30008,89797,8284,7430,81035,3310,3512,1717,5327,4054,9636,2730,3855,1043,54587,26228,80204,57192,6565,3371,2891,9518,4585,4233,10557,27347,1984,7280,629,249,11254,11010,4070,6662,2537,8560,5996,214,6594,718,10158,6304,864,7412,4316,6273,3872,9823,2348,25878,7980,10406,6192
14,79977,22902,23335,835,9663,79689,51186,375346,1833,64080,23231,54796,10154,60436,9903,57214,23536,2767,2308,51741,55769,124801,4148,5327,2213,79695,3931,9519,27244,644,2173,10417,6472,1280,8900,23208,23443,54863,5918,116496,2770,4958,4094,2817,55638,54587,57502,1311,3417,23089,3815,4664,51765,6401,2762,5649,4312,23034,8073,25966,6347,30,1021,3855,23193,8140,10158,4694,23166,50852,64284,3858,4482,9689,175,5331,2014,151230,2744,4067,11284,744,25840,3976,27123,79170,55312,22914,54470,26031,9760,8819,717,63917,81578,4026,2533,283,11211,81035,8821,10845,6307,5272,6441,9518,5266,26298,3479,51454,4072,358,9201,9586,3642,3489,7262,4698,5919,2633,11221,55847,22820,116987,9641,6035,5935,54431,9208,25975,83468,7103,8418,1164,55859,29899,654,3683,2731,10551,26137,4023,51474,7042,4061,4487,1009,10787,7980,7086,3872,2650,8424,1474,30008,5763,5887,23743,65124,8804,9120,4435,4208,51150,89797,3310,1513,9547,1984,6337,7162,378,23189,79838,4256,10516,10874,114049,54829,4316,54463,10320,2730,29969,9358,5174,7280,9086,5764,2537,2260,4116,1717,1081,79961,79582,1548,64699,6857,4969,3176,1102,9636,11344,3226,9077,1043,5947,2568,23767,10057,7739,8869,6376,4837,753,55303,4070,23576,1031,1968,51313,23259,1295,51330,6439,3953,4815,6819,1959,8549,29916,9536,55061,9122,10225,1396,10439,729238,22982,5021,54585,4857,718,54873,6273,1365,7857,9180,4054,54477,56892,1556,57192,8560,249,2348,7430,6364,6304,154,51691,864,55008,9263,80223,11145,1806,1266,93664,7465,9452,1634,27338,10178,4233,1301,80204,5996,55540,27347,6590,6594,2099,80310,11010,7292,2891,11254,9823,3730,26228,9254,4915,474344,6662,25878,6192,7412,10406
15,4060,55847,2744,5058,84159,2533,5174,8857,2181,7074,54873,1207,65124,79101,3082,8804,51297,10396,7804,29851,4223,4689,113,9518,23011,54674,57045,27324,5584,1230,54431,1349,6309,9254,4694,3773,2823,7857,26002,55638,5203,54438,4208,23677,2817,9450,23131,23254,51186,23646,654,4026,4155,10057,6039,835,9586,23378,54440,605,57157,27244,5358,3226,590,93408,79170,358,8653,26031,57194,8880,51150,55061,4061,2286,6664,9532,1843,29899,25966,55303,6363,23406,5144,5621,2121,3512,9851,3569,2633,11221,51109,1548,4015,1968,57214,247,7292,57035,2170,51365,2770,717,22981,1365,7099,7424,2173,22914,10225,80223,6714,93664,22841,23576,8821,9510,63917,23743,6646,11167,79921,1301,1117,6439,4883,64699,9734,11079,384,9358,8869,4698,11145,822,23635,9590,2568,54477,10787,1396,81669,25928,3122,3858,3417,6857,1009,51691,7739,3109,871,2099,51474,4628,81544,22998,729238,29968,1266,22982,9547,1556,1164,9201,9120,1295,474344,2762,1803,914,55540,81578,7465,51435,10178,10161,1474,10516,5331,1280,9636,6565,7351,341,58472,10845,2730,729230,30,1075,8424,10568,9077,7188,79633,3976,26298,7103,3683,54874,3400,1102,11211,27123,54587,4915,7430,28969,5021,4054,79961,7280,154,4791,7162,23641,51330,79053,26137,2650,23767,5649,1959,79838,2921,29916,23189,1031,23089,55008,9263,4070,9452,29969,629,4837,4585,1984,4815,4050,6819,80310,56892,54470,6376,7070,1081,3310,30008,5327,6364,3953,9180,4094,9536,3730,1717,2891,23231,4316,1672,57192,249,27347,3855,89797,8549,80204,9122,2537,81035,4233,11010,214,10158,1043,26228,11254,10557,9086,718,6594,8560,864,8284,6662,3371,7412,5996,6304,6273,3872,7980,2348,9823,25878,10406,6192
16,5631,23509,26010,25898,25937,10577,2512,143,7342,81873,9819,79135,5225,25941,5954,10531,22992,55775,10399,23350,24140,2958,10606,53827,3223,109,5052,5054,1889,102,6059,22929,25816,79867,10622,1605,23530,2767,11015,27258,57060,2887,54537,1021,402,6731,25932,55055,9319,9221,9517,10549,3988,8728,6217,80223,2309,23234,5163,7127,30001,23191,6165,5481,595,11224,3240,5717,5347,10539,5899,23165,9989,54509,5985,7168,7031,30850,2926,10507,54906,10892,23173,3416,116832,10915,54892,10138,3987,29916,5329,5214,8879,4686,9697,6210,6723,10712,56898,2356,6605,9045,2720,2149,6273,23139,1956,1616,10460,7358,9689,840,6696,94081,9501,23214,8036,890,9455,10487,65108,6166,11344,8665,5331,2040,4609,9184,5894,4928,983,4154,5868,10959,51466,9943,55568,8061,5069,332,558,81614,84549,7494,10328,6455,2316,23118,2058,5928,55002,9919,9639,56829,23609,3842,6745,8834,1646,2048,7703,4071,9612,8125,25804,8872,25,5270,203068,8801,3185,389898,6173,4118,9181,63875,51163,26278,23657,10962,26528,3796,6714,55183,10730,3276,6282,993,9217,9388,8099,10166,9903,80335,10381,3837,3953,10342,5937,10797,1635,1192,10095,1000,3572,4790,8428,874,53838,55884,23478,2787,10560,9695,10179,661,54517,6652,6135,5782,90861,8553,5520,9322,4883,27338,51316,5499,3918,2317,8795,9874,6636,6675,10613,5725,2872,8091,304,4860,55033,5471,6947,10015,1633,5910,60,9267,987,81552,6574,22974,28966,23338,8508,55802,3912,4200,23636,6839,3915,1265,51155,3383,5880,10455,7103,3614,10954,23670,6624,3927,7371,23511,1672,1978,8573,2810,10250,5106,5831,56892,11197,23131,2553,29968,3909,22856,64167,12,6402,9143,8324,5832,55752,79850,1396,26227,6509,4057
